state_name,country_name
Buenos Aires,Argentina
Catamarca,Argentina
Chaco,Argentina
Chubut,Argentina
Córdoba,Argentina
Corrientes,Argentina
Entre Ríos,Argentina
Formosa,Argentina
Jujuy,Argentina
La Pampa,Argentina
La Rioja,Argentina
Mendoza,Argentina
Misiones,Argentina
Neuquén,Argentina
Río Negro,Argentina
Salta,Argentina
San Juan,Argentina
San Luis,Argentina
Santa Cruz,Argentina
Santa Fe,Argentina
Santiago del Estero,Argentina
Tierra del Fuego,Argentina
Tucumán,Argentina
Aragatsotn,Armenia
Ararat,Armenia
Armavir,Armenia
Gegharkunik,Armenia
Kotayk,Armenia
Lori,Armenia
Shirak,Armenia
Syunik,Armenia
Tavush,Armenia
Vayots Dzor,Armenia
Yerevan,Armenia
Australian Capital Territory,Australia
New South Wales,Australia
Northern Territory,Australia
Queensland,Australia
South Australia,Australia
Tasmania,Australia
Victoria,Australia
Western Australia,Australia
Burgenland,Austria
Carinthia,Austria
Lower Austria,Austria
Salzburg,Austria
Styria,Austria
Tyrol,Austria
Upper Austria,Austria
Vienna,Austria
Vorarlberg,Austria
Absheron,Azerbaijan
Agdam,Azerbaijan
Agdash,Azerbaijan
Aghjabadi,Azerbaijan
Agstafa,Azerbaijan
Agsu,Azerbaijan
Astara,Azerbaijan
Baku,Azerbaijan
Balakan,Azerbaijan
Barda,Azerbaijan
Beylagan,Azerbaijan
Bilasuvar,Azerbaijan
Dashkasan,Azerbaijan
Fizuli,Azerbaijan
Ganja,Azerbaijan
Gədəbəy,Azerbaijan
Gobustan,Azerbaijan
Goranboy,Azerbaijan
Goychay,Azerbaijan
Goygol,Azerbaijan
Hajigabul,Azerbaijan
Imishli,Azerbaijan
Ismailli,Azerbaijan
Jabrayil,Azerbaijan
Jalilabad,Azerbaijan
Kalbajar,Azerbaijan
Khachmaz,Azerbaijan
Khizi,Azerbaijan
Khojali,Azerbaijan
Kurdamir,Azerbaijan
Lachin,Azerbaijan
Lankaran,Azerbaijan
Lerik,Azerbaijan
Martuni,Azerbaijan
Masally,Azerbaijan
Mingachevir,Azerbaijan
Nakhchivan,Azerbaijan
Neftchala,Azerbaijan
Oghuz,Azerbaijan
Qabala,Azerbaijan
Qakh,Azerbaijan
Qazakh,Azerbaijan
Quba,Azerbaijan
Qubadli,Azerbaijan
Qusar,Azerbaijan
Saatly,Azerbaijan
Sabirabad,Azerbaijan
Salyan,Azerbaijan
Samukh,Azerbaijan
Shabran,Azerbaijan
Shaki,Azerbaijan
Shamakhi,Azerbaijan
Shamkir,Azerbaijan
Shirvan,Azerbaijan
Shusha,Azerbaijan
Siazan,Azerbaijan
Sumqayit,Azerbaijan
Tartar,Azerbaijan
Tovuz,Azerbaijan
Ujar,Azerbaijan
Yardymli,Azerbaijan
Yevlakh,Azerbaijan
Zangilan,Azerbaijan
Zaqatala,Azerbaijan
Zardab,Azerbaijan
Capital,Bahrain
Central,Bahrain
Muharraq,Bahrain
Southern,Bahrain
Barisal ,Bangladesh
Chittagong ,Bangladesh
Dhaka ,Bangladesh
Khulna ,Bangladesh
Mymensingh ,Bangladesh
Rajshahi ,Bangladesh
Rangpur ,Bangladesh
Sylhet ,Bangladesh
Christ Church,Barbados
Saint Andrew,Barbados
Saint James,Barbados
Saint Joseph,Barbados
Saint Michael,Barbados
Saint Peter,Barbados
Saint Philip,Barbados
Brest,Belarus
Gomel,Belarus
Grodno,Belarus
Minsk,Belarus
Mogilev,Belarus
Vitebsk,Belarus
Brussels-Capital ,Belgium
Flanders,Belgium
Wallonia,Belgium
Belize,Belize
Cayo,Belize
Corozal,Belize
Orange Walk,Belize
Stann Creek,Belize
Toledo,Belize
Alibori,Benin
Atakora,Benin
Atlantique,Benin
Borgou,Benin
Collines,Benin
Donga,Benin
Kouffo,Benin
Littoral,Benin
Mono,Benin
Ouémé,Benin
Plateau,Benin
Zou,Benin
Devonshire,Bermuda
Hamilton,Bermuda
Paget,Bermuda
Saint George's,Bermuda
Sandys,Bermuda
Smith's,Bermuda
Southampton,Bermuda
Warwick,Bermuda
Bumthang ,Bhutan
Chukha ,Bhutan
Dagana ,Bhutan
Gasa ,Bhutan
Haa ,Bhutan
Lhuntse ,Bhutan
Mongar ,Bhutan
Paro ,Bhutan
Pemagatshel ,Bhutan
Punakha ,Bhutan
Samdrup Jongkhar ,Bhutan
Samtse ,Bhutan
Sarpang ,Bhutan
Thimphu ,Bhutan
Trashi Yangtse    ,Bhutan
Trashi Yangtse ,Bhutan
Trashi Yangtse        ,Bhutan
Trashigang ,Bhutan
Trongsa ,Bhutan
Tsirang ,Bhutan
Wangdue Phodrang ,Bhutan
Zhemgang ,Bhutan
Beni,Bolivia
Chuquisaca,Bolivia
Cochabamba,Bolivia
La Paz,Bolivia
Oruro,Bolivia
Pando,Bolivia
Potosí,Bolivia
Santa Cruz,Bolivia
Tarija,Bolivia
Bonaire,Bonaire, Sint Eustatius and Saba
Brčko,Bosnia and Herzegovina
Federation of Bosnia and Herzegovina,Bosnia and Herzegovina
Republika Srpska,Bosnia and Herzegovina
Central,Botswana
Ghanzi,Botswana
Kgalagadi,Botswana
Kgatleng,Botswana
Kweneng,Botswana
North-East,Botswana
North-West,Botswana
South-East,Botswana
Southern,Botswana
Acre,Brazil
Alagoas,Brazil
Amapá,Brazil
Amazonas,Brazil
Bahia,Brazil
Ceará,Brazil
Distrito Federal,Brazil
Espírito Santo,Brazil
Goiás,Brazil
Maranhão,Brazil
Mato Grosso,Brazil
Mato Grosso do Sul,Brazil
Minas Gerais,Brazil
Pará,Brazil
Paraíba,Brazil
Paraná,Brazil
Pernambuco,Brazil
Piauí,Brazil
Rio de Janeiro,Brazil
Rio Grande do Norte,Brazil
Rio Grande do Sul,Brazil
Rondônia,Brazil
Roraima,Brazil
Santa Catarina,Brazil
São Paulo,Brazil
Sergipe,Brazil
Tocantins,Brazil
Belait,Brunei
Brunei-Muara,Brunei
Temburong,Brunei
Tutong,Brunei
Blagoevgrad,Bulgaria
Burgas,Bulgaria
Dobrich,Bulgaria
Gabrovo,Bulgaria
Haskovo,Bulgaria
Kardzhali,Bulgaria
Kyustendil,Bulgaria
Lovech,Bulgaria
Montana,Bulgaria
Pazardzhik,Bulgaria
Pernik,Bulgaria
Pleven,Bulgaria
Plovdiv,Bulgaria
Razgrad,Bulgaria
Ruse,Bulgaria
Shumen,Bulgaria
Silistra,Bulgaria
Sliven,Bulgaria
Smolyan,Bulgaria
Sofia,Bulgaria
Sofia City,Bulgaria
Stara Zagora,Bulgaria
Targovishte,Bulgaria
Varna,Bulgaria
Veliko Tarnovo,Bulgaria
Vidin,Bulgaria
Vratsa,Bulgaria
Yambol,Bulgaria
Boucle du Mouhoun,Burkina Faso
Cascades,Burkina Faso
Centre,Burkina Faso
Centre-Est,Burkina Faso
Centre-Nord,Burkina Faso
Centre-Ouest,Burkina Faso
Centre-Sud,Burkina Faso
Est,Burkina Faso
Hauts-Bassins,Burkina Faso
Nord,Burkina Faso
Plateau-Central,Burkina Faso
Sahel,Burkina Faso
Sud-Ouest,Burkina Faso
Bubanza,Burundi
Bujumbura Mairie,Burundi
Bururi,Burundi
Cankuzo,Burundi
Cibitoke,Burundi
Gitega,Burundi
Karuzi,Burundi
Kayanza,Burundi
Kirundo,Burundi
Makamba,Burundi
Muramvya,Burundi
Muyinga,Burundi
Mwaro,Burundi
Ngozi,Burundi
Rumonge,Burundi
Rutana,Burundi
Ruyigi,Burundi
Banteay Meanchey,Cambodia
Battambang,Cambodia
Kampong Cham,Cambodia
Kampong Chhnang,Cambodia
Kampong Speu,Cambodia
Kampot,Cambodia
Kandal,Cambodia
Kep,Cambodia
Koh Kong,Cambodia
Kratie,Cambodia
Mondulkiri,Cambodia
Oddar Meanchey,Cambodia
Pailin,Cambodia
Phnom Penh,Cambodia
Preah Vihear,Cambodia
Prey Veng,Cambodia
Pursat,Cambodia
Ratanakiri,Cambodia
Siem Reap,Cambodia
Sihanoukville,Cambodia
Stung Treng,Cambodia
Svay Rieng,Cambodia
Takeo,Cambodia
Adamawa,Cameroon
Centre,Cameroon
East,Cameroon
Far North,Cameroon
Littoral,Cameroon
North,Cameroon
Northwest,Cameroon
South,Cameroon
Southwest,Cameroon
West,Cameroon
Alberta,Canada
British Columbia,Canada
Manitoba,Canada
New Brunswick,Canada
Newfoundland and Labrador,Canada
Northwest Territories,Canada
Nova Scotia,Canada
Nunavut,Canada
Ontario,Canada
Prince Edward Island,Canada
Quebec,Canada
Saskatchewan,Canada
Yukon,Canada
Boa Vista,Cape Verde
Brava,Cape Verde
Maio,Cape Verde
Mosteiros,Cape Verde
Paul,Cape Verde
Porto Novo,Cape Verde
Praia,Cape Verde
Ribeira Brava,Cape Verde
Ribeira Grande,Cape Verde
Ribeira Grande de Santiago,Cape Verde
Sal,Cape Verde
Santa Catarina,Cape Verde
Santa Catarina do Fogo,Cape Verde
Santa Cruz,Cape Verde
São Domingos,Cape Verde
São Filipe,Cape Verde
São Lourenço dos Órgãos,Cape Verde
São Miguel,Cape Verde
São Vicente,Cape Verde
Tarrafal,Cape Verde
Tarrafal de São Nicolau,Cape Verde
Cayman Brac,Cayman Islands
Grand Cayman,Cayman Islands
Little Cayman,Cayman Islands
Bamingui-Bangoran,Central African Republic
Bangui,Central African Republic
Basse-Kotto,Central African Republic
Haut-Mbomou,Central African Republic
Haute-Kotto,Central African Republic
Kémo,Central African Republic
Lobaye,Central African Republic
Mambéré-Kadéï,Central African Republic
Mbomou,Central African Republic
Nana-Grébizi,Central African Republic
Nana-Mambéré,Central African Republic
Ombella-M'Poko,Central African Republic
Ouaka,Central African Republic
Ouham,Central African Republic
Ouham-Pendé,Central African Republic
Sangha-Mbaéré,Central African Republic
Vakaga,Central African Republic
Bahr el Gazel,Chad
Batha,Chad
Borkou,Chad
Chari-Baguirmi,Chad
Ennedi-Ouest,Chad
Guéra,Chad
Hadjer-Lamis,Chad
Kanem,Chad
Lac,Chad
Logone Occidental,Chad
Logone Oriental,Chad
Mandoul,Chad
Mayo-Kebbi Est,Chad
Mayo-Kebbi Ouest,Chad
Moyen-Chari,Chad
N'Djamena,Chad
Ouaddaï,Chad
Salamat,Chad
Sila,Chad
Tandjilé,Chad
Tibesti,Chad
Wadi Fira,Chad
Aisén del General Carlos Ibañez del Campo,Chile
Antofagasta,Chile
Arica y Parinacota,Chile
Atacama,Chile
Biobío,Chile
Coquimbo,Chile
La Araucanía,Chile
Libertador General Bernardo O'Higgins,Chile
Los Lagos,Chile
Los Ríos,Chile
Magallanes y de la Antártica Chilena,Chile
Maule,Chile
Ñuble,Chile
Región Metropolitana de Santiago,Chile
Tarapacá,Chile
Valparaíso,Chile
Anhui,China
Beijing,China
Chongqing,China
Fujian,China
Gansu,China
Guangdong,China
Guangxi Zhuang,China
Guizhou,China
Hainan,China
Hebei,China
Heilongjiang,China
Henan,China
Hubei,China
Hunan,China
Inner Mongolia,China
Jiangsu,China
Jiangxi,China
Jilin,China
Liaoning,China
Ningxia Huizu,China
Qinghai,China
Shaanxi,China
Shandong,China
Shanghai,China
Shanxi,China
Sichuan,China
Taiwan,China
Tianjin,China
Xinjiang,China
Xizang,China
Yunnan,China
Zhejiang,China
Amazonas,Colombia
Antioquia,Colombia
Arauca,Colombia
Atlántico,Colombia
Bogotá D.C.,Colombia
Bolívar,Colombia
Boyacá,Colombia
Caldas,Colombia
Caquetá,Colombia
Casanare,Colombia
Cauca,Colombia
Cesar,Colombia
Chocó,Colombia
Córdoba,Colombia
Cundinamarca,Colombia
Guainía,Colombia
Guaviare,Colombia
Huila,Colombia
La Guajira,Colombia
Magdalena,Colombia
Meta,Colombia
Nariño,Colombia
Norte de Santander,Colombia
Putumayo,Colombia
Quindío,Colombia
Risaralda,Colombia
San Andrés, Providencia y Santa Catalina,Colombia
Santander,Colombia
Sucre,Colombia
Tolima,Colombia
Valle del Cauca,Colombia
Vaupés,Colombia
Vichada,Colombia
Anjouan,Comoros
Grande Comore,Comoros
Mohéli,Comoros
Bouenza,Congo
Brazzaville,Congo
Cuvette,Congo
Cuvette-Ouest,Congo
Lékoumou,Congo
Likouala,Congo
Niari,Congo
Plateaux,Congo
Pointe-Noire,Congo
Pool,Congo
Sangha,Congo
Alajuela,Costa Rica
Cartago,Costa Rica
Guanacaste,Costa Rica
Heredia,Costa Rica
Limón,Costa Rica
Puntarenas,Costa Rica
San José,Costa Rica
Abidjan,Cote D'Ivoire (Ivory Coast)
Bas-Sassandra,Cote D'Ivoire (Ivory Coast)
Comoé,Cote D'Ivoire (Ivory Coast)
Denguélé,Cote D'Ivoire (Ivory Coast)
Dix-Huit Montagnes,Cote D'Ivoire (Ivory Coast)
Gôh-Djiboua,Cote D'Ivoire (Ivory Coast)
Lacs,Cote D'Ivoire (Ivory Coast)
Lagunes,Cote D'Ivoire (Ivory Coast)
Sassandra-Marahoué,Cote D'Ivoire (Ivory Coast)
Vallée du Bandama,Cote D'Ivoire (Ivory Coast)
Woroba,Cote D'Ivoire (Ivory Coast)
Zanzan,Cote D'Ivoire (Ivory Coast)
Bjelovar-Bilogora,Croatia
Brod-Posavina,Croatia
Dubrovnik-Neretva,Croatia
Istria,Croatia
Koprivnica-Križevci,Croatia
Krapina-Zagorje,Croatia
Lika-Senj,Croatia
Međimurje,Croatia
Osijek-Baranja,Croatia
Požega-Slavonia,Croatia
Primorje-Gorski Kotar,Croatia
Šibenik-Knin,Croatia
Sisak-Moslavina,Croatia
Split-Dalmatia,Croatia
Varaždin,Croatia
Virovitica-Podravina,Croatia
Vukovar-Syrmia,Croatia
Zadar,Croatia
Zagreb,Croatia
Artemisa,Cuba
Camagüey,Cuba
Ciego de Ávila,Cuba
Cienfuegos,Cuba
Granma,Cuba
Guantánamo,Cuba
Havana,Cuba
Holguín,Cuba
Isla de la Juventud,Cuba
Las Tunas,Cuba
Matanzas,Cuba
Mayabeque,Cuba
Pinar del Río,Cuba
Sancti Spíritus,Cuba
Santiago de Cuba,Cuba
Villa Clara,Cuba
Famagusta (Mağusa),Cyprus
Kyrenia (Keryneia),Cyprus
Larnaca (Larnaka),Cyprus
Limassol (Leymasun),Cyprus
Nicosia (Lefkoşa),Cyprus
Paphos (Pafos),Cyprus
Jihočeský kraj,Czech Republic
Jihomoravský kraj,Czech Republic
Karlovarský kraj,Czech Republic
Kraj Vysočina,Czech Republic
Královéhradecký kraj,Czech Republic
Liberecký kraj,Czech Republic
Moravskoslezský kraj,Czech Republic
Olomoucký kraj,Czech Republic
Pardubický kraj,Czech Republic
Plzeň-jih,Czech Republic
Praha, Hlavní město,Czech Republic
Středočeský kraj,Czech Republic
Ústecký kraj,Czech Republic
Zlín,Czech Republic
Bas-Uélé,Democratic Republic of the Congo
Équateur,Democratic Republic of the Congo
Haut-Katanga,Democratic Republic of the Congo
Haut-Lomami,Democratic Republic of the Congo
Haut-Uélé,Democratic Republic of the Congo
Ituri,Democratic Republic of the Congo
Kasaï,Democratic Republic of the Congo
Kasaï Oriental,Democratic Republic of the Congo
Kinshasa,Democratic Republic of the Congo
Kongo Central,Democratic Republic of the Congo
Kwango,Democratic Republic of the Congo
Kwilu,Democratic Republic of the Congo
Lomami,Democratic Republic of the Congo
Lualaba,Democratic Republic of the Congo
Mai-Ndombe,Democratic Republic of the Congo
Maniema,Democratic Republic of the Congo
Mongala,Democratic Republic of the Congo
Nord-Kivu,Democratic Republic of the Congo
Nord-Ubangi,Democratic Republic of the Congo
Sankuru,Democratic Republic of the Congo
Sud-Kivu,Democratic Republic of the Congo
Sud-Ubangi,Democratic Republic of the Congo
Tanganyika,Democratic Republic of the Congo
Tshopo,Democratic Republic of the Congo
Tshuapa,Democratic Republic of the Congo
Central Denmark,Denmark
Denmark,Denmark
North Denmark,Denmark
Southern Denmark,Denmark
Zealand,Denmark
Ali Sabieh,Djibouti
Arta,Djibouti
Dikhil,Djibouti
Djibouti,Djibouti
Obock,Djibouti
Tadjourah,Djibouti
Saint Andrew,Dominica
Saint David,Dominica
Saint George,Dominica
Saint John,Dominica
Saint Joseph,Dominica
Saint Luke,Dominica
Saint Mark,Dominica
Saint Patrick,Dominica
Saint Paul,Dominica
Saint Peter,Dominica
Azua,Dominican Republic
Baoruco,Dominican Republic
Barahona,Dominican Republic
Dajabón,Dominican Republic
Distrito Nacional,Dominican Republic
Duarte,Dominican Republic
El Seibo,Dominican Republic
Espaillat,Dominican Republic
Hato Mayor,Dominican Republic
Hermanas Mirabal,Dominican Republic
Independencia,Dominican Republic
La Altagracia,Dominican Republic
La Romana,Dominican Republic
La Vega,Dominican Republic
María Trinidad Sánchez,Dominican Republic
Monseñor Nouel,Dominican Republic
Monte Cristi,Dominican Republic
Monte Plata,Dominican Republic
Pedernales,Dominican Republic
Peravia,Dominican Republic
Puerto Plata,Dominican Republic
Samaná,Dominican Republic
San Cristóbal,Dominican Republic
San José de Ocoa,Dominican Republic
San Juan,Dominican Republic
San Pedro de Macorís,Dominican Republic
Sánchez Ramírez,Dominican Republic
Santiago,Dominican Republic
Santiago Rodríguez,Dominican Republic
Santo Domingo,Dominican Republic
Valverde,Dominican Republic
Azuay,Ecuador
Bolívar,Ecuador
Cañar,Ecuador
Carchi,Ecuador
Chimborazo,Ecuador
Cotopaxi,Ecuador
El Oro,Ecuador
Esmeraldas,Ecuador
Galápagos,Ecuador
Guayas,Ecuador
Imbabura,Ecuador
Loja,Ecuador
Los Ríos,Ecuador
Manabí,Ecuador
Morona-Santiago,Ecuador
Napo,Ecuador
Orellana,Ecuador
Pastaza,Ecuador
Pichincha,Ecuador
Santa Elena,Ecuador
Santo Domingo de los Tsáchilas,Ecuador
Sucumbíos,Ecuador
Tungurahua,Ecuador
Zamora Chinchipe,Ecuador
Alexandria,Egypt
Aswan,Egypt
Asyut,Egypt
Beheira,Egypt
Beni Suef,Egypt
Cairo,Egypt
Dakahlia,Egypt
Damietta,Egypt
Faiyum,Egypt
Gharbia,Egypt
Giza,Egypt
Ismailia,Egypt
Kafr El-Sheikh,Egypt
Luxor,Egypt
Matrouh,Egypt
Minya,Egypt
Monufia,Egypt
New Valley,Egypt
North Sinai,Egypt
Port Said,Egypt
Qalyubia,Egypt
Qena,Egypt
Red Sea,Egypt
Sharqia,Egypt
Sohag,Egypt
South Sinai,Egypt
Suez,Egypt
Ahuachapán,El Salvador
Cabañas,El Salvador
Chalatenango,El Salvador
Cuscatlán,El Salvador
La Libertad,El Salvador
La Paz,El Salvador
La Unión ,El Salvador
Morazán,El Salvador
San Miguel,El Salvador
San Salvador,El Salvador
San Vicente,El Salvador
Santa Ana,El Salvador
Sonsonate,El Salvador
Usulután,El Salvador
Annobón,Equatorial Guinea
Bioko Norte,Equatorial Guinea
Bioko Sur,Equatorial Guinea
Centro Sur,Equatorial Guinea
Kié-Ntem,Equatorial Guinea
Litoral,Equatorial Guinea
Wele-Nzas,Equatorial Guinea
Anseba,Eritrea
Debub,Eritrea
Gash-Barka,Eritrea
Maekel,Eritrea
Northern Red Sea,Eritrea
Southern Red Sea,Eritrea
Harju,Estonia
Hiiu,Estonia
Ida-Viru,Estonia
Järva,Estonia
Jõgeva,Estonia
Lääne,Estonia
Lääne-Viru,Estonia
Pärnu,Estonia
Põlva,Estonia
Rapla,Estonia
Saare,Estonia
Tartu,Estonia
Valga,Estonia
Viljandi,Estonia
Võru,Estonia
Hhohho,Eswatini
Lubombo,Eswatini
Manzini,Eswatini
Shiselweni,Eswatini
Addis Ababa,Ethiopia
Afar,Ethiopia
Amhara,Ethiopia
Benishangul-Gumuz,Ethiopia
Dire Dawa,Ethiopia
Gambela,Ethiopia
Harari,Ethiopia
Oromia,Ethiopia
Somali,Ethiopia
Southern Nations, Nationalities, and Peoples',Ethiopia
Tigray,Ethiopia
Eysturoy,Faroe Islands
Northern Isles,Faroe Islands
Sandoy,Faroe Islands
Streymoy,Faroe Islands
Suðuroy,Faroe Islands
Vágar,Faroe Islands
Central,Fiji Islands
Eastern,Fiji Islands
Northern,Fiji Islands
Western,Fiji Islands
Åland Islands,Finland
Central Finland,Finland
Central Ostrobothnia,Finland
Finland Proper,Finland
Kainuu,Finland
Kymenlaakso,Finland
Lapland,Finland
North Karelia,Finland
Northern Ostrobothnia,Finland
Ostrobothnia,Finland
Päijänne Tavastia,Finland
Pirkanmaa,Finland
Satakunta,Finland
South Karelia,Finland
Southern Ostrobothnia,Finland
Southern Savonia,Finland
Tavastia Proper,Finland
Uusimaa,Finland
Auvergne-Rhône-Alpes,France
Bourgogne-Franche-Comté,France
Bretagne,France
Centre-Val de Loire,France
Corse,France
Corse-du-Sud,France
Grand-Est,France
Haute-Corse,France
Haute-Marne,France
Hauts-de-France,France
Île-de-France,France
Lozère,France
Meuse,France
Normandie,France
Nouvelle-Aquitaine,France
Occitanie,France
Pays-de-la-Loire,France
Provence-Alpes-Côte-d’Azur,France
Austral Islands,French Polynesia
Leeward Islands,French Polynesia
Marquesas Islands,French Polynesia
Tuamotu-Gambier,French Polynesia
Windward Islands,French Polynesia
Estuaire,Gabon
Haut-Ogooué,Gabon
Moyen-Ogooué,Gabon
Ngounié,Gabon
Nyanga,Gabon
Ogooué-Ivindo,Gabon
Ogooué-Lolo,Gabon
Ogooué-Maritime,Gabon
Woleu-Ntem,Gabon
Abkhazia,Georgia
Adjara,Georgia
Guria,Georgia
Imereti,Georgia
Kakheti,Georgia
Kvemo Kartli,Georgia
Mtskheta-Mtianeti,Georgia
Racha-Lechkhumi and Kvemo Svaneti,Georgia
Samegrelo-Zemo Svaneti,Georgia
Samtskhe-Javakheti,Georgia
Shida Kartli,Georgia
Tbilisi,Georgia
Baden-Württemberg,Germany
Bavaria,Germany
Berlin,Germany
Brandenburg,Germany
Bremen,Germany
Hamburg,Germany
Hessen,Germany
Lower Saxony,Germany
Mecklenburg-Vorpommern,Germany
North Rhine-Westphalia,Germany
Rhineland-Palatinate,Germany
Saarland,Germany
Saxony,Germany
Saxony-Anhalt,Germany
Schleswig-Holstein,Germany
Thuringia,Germany
Ahafo,Ghana
Ashanti,Ghana
Bono,Ghana
Bono East,Ghana
Central,Ghana
Eastern,Ghana
Greater Accra,Ghana
North East,Ghana
Northern,Ghana
Oti,Ghana
Savannah,Ghana
Upper East,Ghana
Upper West,Ghana
Volta,Ghana
Western,Ghana
Western North,Ghana
Attica,Greece
Central Greece,Greece
Central Macedonia,Greece
Corfu,Greece
Crete,Greece
East Attica,Greece
East Macedonia and Thrace,Greece
Epirus,Greece
Ionian Islands,Greece
Kefalonia,Greece
Lefkada,Greece
Peloponnese,Greece
South Aegean,Greece
West Greece,Greece
West Macedonia,Greece
Avannaata,Greenland
Kujalleq,Greenland
Qeqertalik,Greenland
Qeqqata,Greenland
Sermersooq,Greenland
Carriacou,Grenada
Saint Andrew,Grenada
Saint David,Grenada
Saint George,Grenada
Saint John,Grenada
Saint Mark,Grenada
Saint Patrick,Grenada
Basse-Terre,Guadeloupe
Pointe-à-Pitre,Guadeloupe
Alta Verapaz ,Guatemala
Baja Verapaz ,Guatemala
Chimaltenango ,Guatemala
Chiquimula ,Guatemala
El Progreso ,Guatemala
Escuintla ,Guatemala
Guatemala ,Guatemala
Huehuetenango ,Guatemala
Izabal ,Guatemala
Jalapa ,Guatemala
Jutiapa ,Guatemala
Petén ,Guatemala
Quetzaltenango ,Guatemala
Quiché ,Guatemala
Retalhuleu ,Guatemala
Sacatepéquez ,Guatemala
San Marcos ,Guatemala
Santa Rosa ,Guatemala
Sololá ,Guatemala
Suchitepéquez ,Guatemala
Totonicapán ,Guatemala
Boké,Guinea
Conakry,Guinea
Kankan,Guinea
Kindia,Guinea
Labé,Guinea
Mamou,Guinea
Nzérékoré,Guinea
Bafatá,Guinea-Bissau
Biombo,Guinea-Bissau
Bolama,Guinea-Bissau
Cacheu,Guinea-Bissau
Gabú,Guinea-Bissau
Oio,Guinea-Bissau
Quinara,Guinea-Bissau
Tombali,Guinea-Bissau
Barima-Waini,Guyana
Cuyuni-Mazaruni,Guyana
Demerara-Mahaica,Guyana
East Berbice-Corentyne,Guyana
Essequibo Islands-West Demerara,Guyana
Mahaica-Berbice,Guyana
Pomeroon-Supenaam,Guyana
Potaro-Siparuni,Guyana
Upper Demerara-Berbice,Guyana
Upper Takutu-Upper Essequibo,Guyana
Artibonite,Haiti
Centre,Haiti
Grand'Anse,Haiti
Nippes,Haiti
Nord,Haiti
Nord-Est,Haiti
Nord-Ouest,Haiti
Ouest,Haiti
Sud,Haiti
Sud-Est,Haiti
Atlántida,Honduras
Bay Islands,Honduras
Choluteca,Honduras
Colón,Honduras
Comayagua,Honduras
Copán,Honduras
Cortés,Honduras
El Paraíso,Honduras
Francisco Morazán,Honduras
Gracias a Dios,Honduras
Intibucá,Honduras
La Paz,Honduras
Lempira,Honduras
Ocotepeque,Honduras
Olancho,Honduras
Santa Bárbara,Honduras
Valle,Honduras
Yoro,Honduras
